Traj_ID,Trial,Step_Num,Time_sec,Action,Max_Q
1,1,1,0.01,FORWARD,-0.5
1,1,2,0.99,FORWARD,-0.42
1,1,3,1.97,FORWARD,-0.35
1,1,4,2.95,FORWARD,-0.28
1,1,5,3.93,FORWARD,-0.22
1,1,6,4.91,FORWARD,-0.18
1,1,7,5.89,CRAWL,-0.55
1,1,8,11.47,CRAWL,-0.71
1,1,9,17.05,CRAWL,-0.6
1,1,10,22.63,CRAWL,-0.48
1,1,11,28.21,CRAWL,-0.33
1,1,12,33.79,LEFT TURN,-0.25
1,1,13,35.24,LEFT TURN,-0.19
1,1,14,36.69,LEFT TURN,-0.14
1,1,15,38.14,LEFT TURN,-0.09
1,1,16,39.59,LEFT TURN,-0.05
1,1,17,41.04,FORWARD,-0.03
1,2,1,0.01,RIGHT WALK,-0.43
1,2,2,1.43,FORWARD,-0.05
1,2,3,2.38,FORWARD,-0.34
1,2,4,3.36,FORWARD,-0.42
1,2,5,4.37,RIGHT TURN,-0.56
1,2,6,5.85,LEFT TURN,-0.36
1,2,7,7.29,RIGHT WALK,-0.14
1,2,8,8.72,RIGHT TURN,-0.47
1,2,9,10.18,RIGHT WALK,-0.66
1,2,10,11.56,FORWARD,-0.05
1,2,11,12.56,RIGHT TURN,-0.44
1,2,12,14.0,RIGHT WALK,-0.58
1,2,13,15.38,FORWARD,-0.69
1,2,14,16.35,FORWARD,-1.06
1,2,15,17.35,LEFT WALK,-0.53
1,2,16,18.78,RIGHT TURN,-0.52
1,2,17,20.25,FORWARD,-0.19
1,2,18,21.23,LEFT WALK,-0.73
1,2,19,22.57,RIGHT TURN,-0.05
1,2,20,23.98,CRAWL,-0.05
1,2,21,29.54,LEFT TURN,-0.18
1,2,22,31.0,CRAWL,-0.34
1,2,23,36.55,CRAWL,-0.09
1,2,24,42.13,RIGHT TURN,-0.05
1,2,25,43.56,RIGHT TURN,-0.47
1,2,26,45.01,FORWARD,-0.44
1,2,27,46.0,FORWARD,-0.05
1,3,1,0.01,FORWARD,-1.1
1,3,2,0.99,RIGHT WALK,-1.72
1,3,3,2.44,LEFT TURN,-2.24
1,3,4,3.91,FORWARD,-3.11
1,3,5,4.91,LEFT WALK,-3.39
1,3,6,6.34,FORWARD,-3.4
1,3,7,7.32,RIGHT WALK,-3.75
1,3,8,8.73,CRAWL,-3.57
1,3,9,14.3,FORWARD,-3.39
1,3,10,15.25,FORWARD,-3.42
1,3,11,16.24,FORWARD,-3.85
1,3,12,17.22,RIGHT TURN,-3.75
1,3,13,18.7,RIGHT TURN,-3.61
1,3,14,20.16,RIGHT TURN,-3.91
1,3,15,21.63,FORWARD,-3.8
1,3,16,22.59,FORWARD,-3.85
1,3,17,23.58,RIGHT TURN,-3.87
1,3,18,25.01,LEFT TURN,-4.04
1,3,19,26.46,FORWARD,-4.5
1,3,20,27.37,FORWARD,-4.0
1,3,21,28.33,LEFT TURN,-4.14
1,3,22,29.77,LEFT TURN,-4.35
1,3,23,31.22,FORWARD,-4.5
1,3,24,32.2,RIGHT TURN,-4.5
1,3,25,33.69,FORWARD,-4.5
2,1,1,0.01,RIGHT WALK,-0.38
2,1,2,1.43,LEFT WALK,-0.05
2,1,3,2.85,LEFT TURN,-0.05
2,1,4,4.29,FORWARD,-0.15
2,1,5,5.24,CRAWL,-0.3
2,1,6,10.8,RIGHT TURN,-0.55
2,1,7,12.26,RIGHT WALK,-0.25
2,1,8,13.73,LEFT TURN,-0.05
2,1,9,15.18,CRAWL,-0.28
2,1,10,20.74,LEFT WALK,-0.09
2,1,11,22.17,FORWARD,-0.05
2,1,12,23.11,CRAWL,-0.05
2,1,13,28.72,FORWARD,-0.55
2,1,14,29.72,FORWARD,-0.79
2,1,15,30.7,RIGHT TURN,-0.36
2,1,16,32.17,LEFT TURN,-0.05
2,1,17,33.6,FORWARD,-0.05
2,1,18,34.57,CRAWL,-0.21
2,1,19,40.18,RIGHT WALK,-0.5
2,1,20,41.65,LEFT WALK,-0.55
2,1,21,43.07,LEFT TURN,-0.43
2,1,22,44.52,LEFT WALK,-0.05
2,1,23,45.95,FORWARD,-0.05
2,1,24,46.91,RIGHT WALK,-0.44
2,1,25,48.32,FORWARD,-0.73
2,1,26,49.29,RIGHT TURN,-0.76
2,1,27,50.76,CRAWL,-0.33
2,1,28,56.29,CRAWL,-0.34
2,1,29,61.91,RIGHT WALK,-0.05
2,1,30,63.32,FORWARD,-0.08
2,1,31,64.29,RIGHT TURN,-0.5
2,1,32,65.74,CRAWL,-0.86
2,1,33,71.3,CRAWL,-0.64
2,1,34,76.9,FORWARD,-0.89
2,1,35,77.88,RIGHT WALK,-1.04
2,1,36,79.31,FORWARD,-0.96
2,1,37,80.25,FORWARD,-0.67
2,2,1,0.01,LEFT TURN,-0.05
2,2,2,1.42,FORWARD,-0.05
2,2,3,2.4,FORWARD,-0.05
2,2,4,3.39,RIGHT TURN,-0.05
2,2,5,4.85,FORWARD,-0.05
2,2,6,5.83,LEFT TURN,-0.66
2,2,7,7.26,FORWARD,-0.91
2,2,8,8.28,CRAWL,-0.21
2,2,9,13.85,LEFT TURN,-0.6
2,2,10,15.31,RIGHT TURN,-0.66
2,2,11,16.74,RIGHT TURN,-0.85
2,2,12,18.19,FORWARD,-0.33
2,2,13,19.11,CRAWL,-0.05
2,2,14,24.7,LEFT TURN,-0.28
2,2,15,26.13,FORWARD,-0.05
2,2,16,27.08,RIGHT WALK,-0.05
2,2,17,28.48,LEFT WALK,-0.57
2,3,1,0.01,FORWARD,-2.16
2,3,2,0.99,FORWARD,-1.47
2,3,3,1.94,RIGHT TURN,-0.87
2,3,4,3.38,FORWARD,-0.71
2,3,5,4.37,LEFT TURN,-0.56
2,3,6,5.83,LEFT WALK,-0.16
2,3,7,7.27,CRAWL,-0.36
2,3,8,12.86,FORWARD,-0.68
2,3,9,13.81,FORWARD,-0.43
2,3,10,14.79,FORWARD,-0.1
2,3,11,15.76,FORWARD,-0.05
2,3,12,16.7,RIGHT WALK,-0.31
2,3,13,18.13,CRAWL,-0.73
2,3,14,23.71,FORWARD,-0.26
2,3,15,24.69,FORWARD,-0.14
3,1,1,0.01,FORWARD,-0.05
3,1,2,1.0,FORWARD,-0.5
3,1,3,1.98,RIGHT TURN,-0.28
3,1,4,3.43,FORWARD,-0.34
3,1,5,4.41,RIGHT WALK,-0.63
3,1,6,5.82,LEFT TURN,-0.75
3,1,7,7.28,LEFT TURN,-0.71
3,1,8,8.66,LEFT TURN,-0.85
3,1,9,10.12,RIGHT TURN,-1.14
3,1,10,11.58,CRAWL,-0.68
3,1,11,17.14,RIGHT WALK,-1.27
3,1,12,18.54,FORWARD,-1.35
3,1,13,19.49,CRAWL,-1.83
3,1,14,25.03,FORWARD,-1.69
3,2,1,0.01,FORWARD,-0.05
3,2,2,0.95,RIGHT TURN,-0.18
3,2,3,2.41,LEFT TURN,-0.05
3,2,4,3.88,LEFT TURN,-0.05
3,2,5,5.33,RIGHT TURN,-0.22
3,2,6,6.79,RIGHT TURN,-0.23
3,2,7,8.19,RIGHT WALK,-0.05
3,2,8,9.58,FORWARD,-0.05
3,2,9,10.55,LEFT WALK,-0.52
3,2,10,11.96,RIGHT TURN,-0.32
3,2,11,13.41,FORWARD,-0.3
3,2,12,14.39,RIGHT WALK,-0.34
4,1,1,0.01,LEFT TURN,-2.48
4,1,2,1.45,LEFT TURN,-3.3
4,1,3,2.91,RIGHT WALK,-3.43
4,1,4,4.34,CRAWL,-3.16
4,1,5,9.93,CRAWL,-3.34
4,1,6,15.5,FORWARD,-3.39
4,1,7,16.48,CRAWL,-3.07
4,1,8,22.07,CRAWL,-3.68
4,1,9,27.65,LEFT WALK,-3.75
4,1,10,29.06,LEFT TURN,-4.15
4,1,11,30.49,LEFT WALK,-4.1
4,1,12,31.93,RIGHT WALK,-4.02
4,1,13,33.29,FORWARD,-3.92
4,1,14,34.27,RIGHT TURN,-3.8
4,1,15,35.69,LEFT TURN,-3.7
4,1,16,37.16,FORWARD,-4.16
4,1,17,38.13,FORWARD,-3.89
4,1,18,39.1,RIGHT WALK,-3.95
4,1,19,40.52,FORWARD,-3.44
4,1,20,41.46,CRAWL,-3.84
4,1,21,47.02,RIGHT WALK,-3.91
4,1,22,48.44,FORWARD,-4.31
4,1,23,49.43,FORWARD,-4.32
4,1,24,50.44,LEFT WALK,-4.43
4,1,25,51.85,FORWARD,-3.65
4,1,26,52.83,LEFT TURN,-3.69
4,1,27,54.33,LEFT WALK,-4.11
4,1,28,55.76,FORWARD,-4.04
4,1,29,56.74,LEFT WALK,-3.81
4,1,30,58.14,LEFT WALK,-4.35
4,1,31,59.54,LEFT WALK,-4.43
4,1,32,60.96,LEFT TURN,-3.92
4,1,33,62.42,FORWARD,-3.18
4,1,34,63.39,LEFT WALK,-3.22
4,1,35,64.83,RIGHT TURN,-3.75
4,1,36,66.25,CRAWL,-4.5
4,1,37,71.87,CRAWL,-4.5
4,1,38,77.46,LEFT WALK,-4.5
4,2,1,0.01,LEFT WALK,-1.68
4,2,2,1.42,RIGHT WALK,-1.51
4,2,3,2.82,RIGHT TURN,-1.51
4,2,4,4.27,FORWARD,-1.14
4,2,5,5.29,RIGHT TURN,-0.81
4,2,6,6.73,RIGHT TURN,-0.93
4,2,7,8.19,LEFT TURN,-1.22
4,2,8,9.63,CRAWL,-0.87
4,2,9,15.21,FORWARD,-1.19
4,2,10,16.2,FORWARD,-0.84
4,2,11,17.18,LEFT TURN,-0.55
4,2,12,18.61,CRAWL,-0.71
4,2,13,24.21,RIGHT WALK,-0.69
4,2,14,25.66,RIGHT WALK,-0.42
4,2,15,27.08,LEFT WALK,-0.12
4,2,16,28.51,LEFT WALK,-0.36
4,2,17,29.94,RIGHT TURN,-0.47
4,2,18,31.39,RIGHT WALK,-0.1
4,2,19,32.78,RIGHT WALK,-0.12
4,2,20,34.22,LEFT TURN,-0.38
4,2,21,35.68,RIGHT TURN,-0.24
4,2,22,37.12,FORWARD,-0.33
4,2,23,38.13,LEFT WALK,-0.23
4,2,24,39.54,RIGHT TURN,-0.67
4,2,25,40.96,FORWARD,-0.86
4,2,26,41.95,FORWARD,-0.97
4,2,27,42.93,FORWARD,-0.52
4,2,28,43.88,FORWARD,-0.21
4,2,29,44.85,RIGHT WALK,-0.13
4,2,30,46.29,RIGHT WALK,-0.67
4,2,31,47.7,RIGHT WALK,-0.85
4,2,32,49.12,CRAWL,-0.62
4,2,33,54.69,FORWARD,-0.45
4,2,34,55.69,CRAWL,-0.1
4,2,35,61.27,LEFT TURN,-0.21
4,2,36,62.74,CRAWL,-0.05
4,2,37,68.33,FORWARD,-0.05
4,2,38,69.3,FORWARD,-0.74
4,2,39,70.31,FORWARD,-0.63
4,2,40,71.27,LEFT TURN,-0.63
4,2,41,72.74,FORWARD,-0.61
4,2,42,73.7,CRAWL,-0.5
4,2,43,79.3,RIGHT TURN,-0.06
4,2,44,80.76,FORWARD,-0.68
4,2,45,81.73,RIGHT TURN,-1.13
4,2,46,83.18,FORWARD,-0.75
4,2,47,84.17,LEFT WALK,-0.77
4,2,48,85.56,FORWARD,-0.28
4,3,1,0.01,FORWARD,-2.33
4,3,2,0.98,FORWARD,-2.42
4,3,3,1.95,LEFT TURN,-2.14
4,3,4,3.36,RIGHT WALK,-1.95
4,3,5,4.79,FORWARD,-1.31
4,3,6,5.74,LEFT WALK,-1.37
4,3,7,7.18,FORWARD,-1.17
4,3,8,8.16,RIGHT WALK,-0.89
4,3,9,9.56,FORWARD,-1.57
4,3,10,10.52,CRAWL,-0.97
4,3,11,16.09,FORWARD,-0.57
4,3,12,17.07,FORWARD,-0.43
4,3,13,18.05,RIGHT WALK,-0.35
4,3,14,19.49,LEFT TURN,-0.17
4,3,15,20.96,LEFT TURN,-0.12
4,3,16,22.44,RIGHT TURN,-0.4
4,3,17,23.9,LEFT WALK,-0.68
4,3,18,25.31,RIGHT TURN,-0.78
4,3,19,26.73,LEFT TURN,-1.13
4,3,20,28.18,FORWARD,-0.93
4,3,21,29.15,CRAWL,-0.7
4,3,22,34.71,RIGHT TURN,-0.96
4,3,23,36.14,CRAWL,-0.77
4,3,24,41.7,RIGHT TURN,-0.92
4,3,25,43.12,FORWARD,-0.99
4,3,26,44.08,LEFT WALK,-0.93
4,3,27,45.49,LEFT TURN,-0.95
4,3,28,46.94,CRAWL,-0.69
4,3,29,52.53,LEFT WALK,-0.16
4,3,30,53.93,RIGHT WALK,-0.05
4,3,31,55.36,RIGHT WALK,-0.05
4,3,32,56.78,RIGHT WALK,-0.1
4,3,33,58.16,FORWARD,-0.05
4,3,34,59.12,FORWARD,-0.62
4,3,35,60.12,FORWARD,-0.24
4,3,36,61.06,LEFT TURN,-0.05
4,3,37,62.51,RIGHT TURN,-0.38
4,3,38,63.96,FORWARD,-0.62
4,3,39,64.94,LEFT WALK,-0.44
4,3,40,66.37,LEFT TURN,-0.27
4,3,41,67.84,RIGHT TURN,-0.62
4,3,42,69.29,FORWARD,-0.05
4,3,43,70.28,RIGHT WALK,-0.05
4,3,44,71.69,RIGHT WALK,-0.05
4,3,45,73.08,RIGHT WALK,-0.16
4,3,46,74.51,FORWARD,-0.05
4,3,47,75.52,LEFT TURN,-0.23
4,3,48,76.97,CRAWL,-0.39
5,1,1,0.01,LEFT WALK,-1.64
5,1,2,1.41,CRAWL,-1.45
5,1,3,6.98,CRAWL,-1.18
5,1,4,12.54,FORWARD,-1.24
5,1,5,13.5,LEFT WALK,-0.51
5,1,6,14.9,CRAWL,-0.42
5,1,7,20.5,FORWARD,-0.62
5,1,8,21.49,FORWARD,-0.47
5,1,9,22.46,RIGHT TURN,-0.92
5,1,10,23.9,RIGHT TURN,-0.39
5,1,11,25.35,LEFT TURN,-0.79
5,1,12,26.84,FORWARD,-0.61
5,1,13,27.82,LEFT TURN,-0.5
5,1,14,29.28,LEFT TURN,-0.72
5,1,15,30.7,FORWARD,-0.8
5,1,16,31.67,LEFT TURN,-0.56
5,1,17,33.1,LEFT TURN,-0.79
5,1,18,34.56,FORWARD,-1.39
5,1,19,35.52,FORWARD,-1.09
5,2,1,0.01,FORWARD,-1.39
5,2,2,1.0,FORWARD,-1.18
5,2,3,2.0,CRAWL,-1.52
5,2,4,7.55,RIGHT TURN,-1.26
5,2,5,9.04,FORWARD,-0.93
5,2,6,10.02,RIGHT TURN,-1.12
5,2,7,11.47,CRAWL,-0.83
5,2,8,17.05,FORWARD,-0.52
5,2,9,17.99,LEFT TURN,-0.4
5,2,10,19.45,LEFT WALK,-0.05
5,2,11,20.9,LEFT WALK,-0.28
5,2,12,22.33,FORWARD,-0.05
5,2,13,23.3,CRAWL,-0.05
5,2,14,28.84,RIGHT WALK,-0.05
5,2,15,30.27,RIGHT TURN,-0.44
5,2,16,31.73,RIGHT TURN,-0.48
5,2,17,33.17,FORWARD,-0.26
5,2,18,34.16,FORWARD,-0.57
5,2,19,35.17,LEFT WALK,-0.55
5,2,20,36.6,CRAWL,-0.05
5,2,21,42.17,RIGHT TURN,-0.05
5,2,22,43.63,LEFT WALK,-0.05
5,2,23,45.03,RIGHT WALK,-0.47
5,2,24,46.44,RIGHT TURN,-0.47
5,2,25,47.88,LEFT TURN,-0.52
5,2,26,49.34,LEFT TURN,-0.55
5,2,27,50.78,RIGHT TURN,-0.72
5,2,28,52.21,LEFT WALK,-1.18
5,2,29,53.62,FORWARD,-1.63
5,3,1,0.01,LEFT TURN,-1.12
5,3,2,1.42,RIGHT TURN,-0.78
5,3,3,2.87,RIGHT WALK,-0.86
5,3,4,4.29,CRAWL,-1.03
5,3,5,9.89,LEFT WALK,-1.08
5,3,6,11.29,LEFT WALK,-0.26
5,3,7,12.73,RIGHT TURN,-0.55
5,3,8,14.13,LEFT WALK,-0.58
5,3,9,15.56,RIGHT TURN,-0.91
5,3,10,17.03,RIGHT WALK,-0.44
5,3,11,18.49,LEFT TURN,-0.05
5,3,12,19.94,FORWARD,-0.05
5,3,13,20.9,FORWARD,-0.36
5,3,14,21.87,FORWARD,-0.05
5,3,15,22.83,RIGHT WALK,-0.27
5,3,16,24.24,FORWARD,-0.38
5,3,17,25.2,FORWARD,-0.25
5,3,18,26.22,RIGHT WALK,-0.52
6,1,1,0.01,FORWARD,-0.85
6,1,2,1.0,FORWARD,-0.71
6,1,3,2.0,LEFT TURN,-0.53
6,1,4,3.47,FORWARD,-0.67
6,1,5,4.49,RIGHT TURN,-0.7
6,1,6,5.92,RIGHT WALK,-0.72
6,1,7,7.34,LEFT WALK,-0.19
6,1,8,8.78,RIGHT WALK,-0.26
6,1,9,10.2,RIGHT WALK,-0.5
6,1,10,11.56,FORWARD,-0.36
6,1,11,12.56,LEFT TURN,-0.38
6,1,12,14.01,FORWARD,-0.05
6,1,13,15.0,LEFT TURN,-0.16
