Traj_ID,Step_Num,Grid_0,Grid_1,Grid_2,Grid_3,Grid_4,Grid_5,Grid_6,Grid_7,Grid_8,Grid_9,Grid_10,Grid_11,Grid_12,Grid_13,Grid_14,Grid_15,Grid_16,Grid_17,Grid_18,Grid_19,Grid_20,Grid_21,Grid_22,Grid_23,Grid_24,Action,Reward,Survival
1,1,0.44,0.69,1.25,1.28,0.7,0.45,0.52,1.29,1.29,0.86,0.46,0.56,0.5,0.71,1.19,0.44,0.46,0.2,0.2,0.79,1.93,0.29,0.29,0.22,0.2,0,1.0,1
1,2,0.43,0.68,1.15,0.61,0.68,0.44,0.57,0.7,0.56,0.45,0.46,0.45,0.33,0.22,0.22,0.49,0.21,0.2,0.2,0.2,2.94,0.25,0.21,0.25,0.21,0,1.0,1
1,3,0.39,0.79,1.11,0.54,0.67,0.41,0.49,0.63,0.56,0.74,0.41,0.41,0.38,0.22,0.2,0.33,0.2,0.2,0.2,0.2,4.23,0.29,0.2,0.22,0.24,0,1.0,1
1,4,2.07,1.06,0.64,0.54,0.4,2.51,0.59,0.61,0.45,0.47,0.36,0.56,0.27,0.22,0.2,0.37,0.21,0.2,0.2,0.2,1.47,0.81,0.2,1.34,0.22,0,1.0,1
1,5,2.36,1.02,0.62,0.52,0.58,4.05,0.56,0.6,0.48,0.36,0.43,0.55,0.31,0.22,0.21,0.35,0.22,0.2,0.2,0.2,2.01,0.21,0.2,0.2,0.2,0,1.0,1
1,6,4.76,1.05,0.71,0.6,0.71,2.1,0.55,0.59,0.49,0.55,0.53,0.53,0.32,0.29,0.27,0.48,0.22,0.2,0.2,0.19,4.98,0.21,0.24,0.23,0.44,0,1.0,1
1,7,2.94,1.0,0.56,0.45,0.63,2.0,0.51,0.58,0.44,0.36,0.46,0.5,0.26,0.2,0.2,1.06,0.23,0.2,0.2,0.19,3.76,0.2,0.22,0.2,0.2,0,1.0,1
1,8,4.95,0.84,0.52,0.42,0.56,0.5,0.48,0.55,0.42,0.36,0.48,0.46,0.25,0.22,0.2,0.43,0.21,0.2,0.2,0.2,4.53,0.2,0.21,0.2,0.2,0,1.0,1
1,9,4.45,0.6,0.5,0.38,0.49,2.34,0.46,0.54,0.44,0.34,0.41,0.45,0.24,0.2,0.2,0.37,0.22,0.2,0.2,0.2,4.18,0.2,0.25,0.74,0.21,5,1.0,1
1,10,3.78,0.93,0.98,1.03,0.87,2.16,0.46,0.84,0.62,0.82,0.46,0.44,0.62,0.44,0.63,0.44,0.41,0.26,0.26,0.29,2.66,0.28,0.53,0.2,0.26,5,1.0,1
1,11,4.3,0.91,0.93,0.96,0.77,0.67,0.52,0.71,0.58,0.77,0.38,0.4,0.51,0.38,0.79,0.4,0.25,0.24,0.27,0.32,2.58,0.56,0.22,0.2,0.24,5,1.0,1
1,12,2.93,0.84,0.78,0.79,0.65,1.02,0.56,0.66,0.55,0.57,0.34,0.4,0.43,0.32,0.4,0.36,0.28,0.24,0.26,0.28,2.65,0.22,0.22,0.21,0.26,5,1.0,1
1,13,1.94,0.85,0.79,0.81,0.67,3.17,0.7,0.5,0.29,0.26,0.31,0.32,0.34,0.29,0.25,0.28,0.31,0.3,0.27,0.22,1.41,0.23,0.2,0.2,0.33,5,1.0,1
1,14,4.9,0.65,0.65,0.65,1.82,0.84,0.58,0.61,0.63,0.28,0.23,0.28,0.31,0.24,0.2,0.23,0.24,0.2,0.2,0.2,3.15,1.63,2.52,0.21,0.2,5,1.0,1
1,15,0.69,0.53,0.53,0.54,3.03,1.08,0.54,0.55,0.54,0.46,0.27,0.3,0.34,0.24,0.2,0.25,0.27,0.2,0.2,0.2,2.84,0.24,1.69,0.25,0.2,5,50.0,1
1,16,0.54,0.48,0.47,0.47,0.75,0.41,0.47,0.48,0.49,0.52,0.33,0.39,0.4,0.39,0.36,1.98,0.87,2.13,0.54,0.2,3.42,1.19,1.42,1.89,1.87,0,1.0,1
1,17,0.44,0.42,0.42,0.43,1.19,1.23,0.4,0.44,0.43,0.44,0.23,0.21,0.2,0.2,0.2,1.46,0.21,0.2,0.2,0.2,2.19,0.37,0.22,0.21,0.2,0,1.0,1
1,18,0.44,0.38,0.39,0.4,1.46,0.37,0.38,0.41,0.4,0.34,0.22,0.27,0.29,0.2,0.2,0.22,0.21,0.2,0.19,0.6,1.04,0.24,0.22,1.16,0.2,0,1.0,1
1,19,0.77,0.38,0.39,0.39,0.33,1.16,0.4,0.4,0.39,0.37,0.59,0.24,0.31,0.23,0.2,1.15,0.21,0.29,0.36,1.98,0.6,0.28,0.42,1.07,0.41,0,-40.0,1
1,20,1.53,0.36,0.37,0.36,0.33,1.64,0.3,0.39,0.36,0.32,0.27,0.22,0.23,0.2,0.2,1.18,0.2,0.2,0.2,0.2,0.89,0.21,0.27,0.2,0.21,0,1.0,1
1,21,0.37,0.35,0.35,0.34,0.29,0.43,0.33,0.36,0.36,0.33,0.22,0.23,0.27,0.23,0.21,0.28,0.2,0.2,0.2,0.19,0.2,1.01,2.29,0.27,0.2,0,-40.0,1
1,22,0.38,0.32,0.33,0.32,0.32,0.34,0.3,0.34,0.33,0.32,0.21,0.22,0.26,0.22,0.2,0.26,0.2,0.2,0.2,0.19,0.24,0.24,0.51,0.2,0.2,0,-40.0,1
1,23,4.42,0.31,0.3,0.3,0.26,3.58,0.3,0.32,0.32,0.32,0.23,0.31,0.27,0.23,0.22,0.25,0.24,0.2,0.2,0.19,1.37,2.06,2.14,1.62,0.52,0,1.0,1
1,24,4.7,0.29,0.29,0.29,0.24,0.28,0.28,0.31,0.3,0.3,0.23,0.24,0.22,0.2,0.2,0.22,0.22,0.19,0.2,0.19,1.72,0.26,1.17,4.69,0.82,0,1.0,1
1,25,2.61,0.26,0.28,0.27,0.52,0.25,0.27,0.29,0.28,0.26,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.56,0.45,1.39,0.2,0.2,2,50.0,1
1,26,2.97,0.32,0.3,0.29,0.23,0.88,0.31,0.29,0.28,0.28,0.34,0.29,0.27,0.27,0.27,0.32,0.28,0.27,0.26,0.26,1.62,0.24,0.26,0.33,0.33,2,1.0,1
1,27,3.62,0.28,0.28,0.28,0.23,2.93,0.29,0.28,0.28,0.26,0.53,0.29,0.27,0.27,0.27,2.71,0.28,0.27,0.26,0.26,3.91,0.25,0.26,0.26,0.39,2,1.0,1
1,28,4.47,0.26,0.26,0.26,0.2,4.89,0.26,0.26,0.26,0.24,0.52,0.26,0.26,0.26,0.27,2.77,0.26,0.26,0.26,0.23,3.38,0.23,0.25,0.24,0.29,2,1.0,1
1,29,4.22,0.25,0.25,0.25,0.21,4.85,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25,0.26,2.56,0.25,0.25,0.25,0.23,2.85,0.22,0.24,0.24,0.31,2,1.0,1
1,30,3.99,0.28,0.24,0.24,0.2,4.34,0.24,0.24,0.24,0.24,0.27,0.24,0.24,0.24,0.25,1.07,0.24,0.23,0.24,0.22,3.9,0.23,0.23,0.23,0.24,2,1.0,1
1,31,4.42,0.24,0.24,0.24,0.23,3.22,0.24,0.24,0.24,0.24,0.27,0.24,0.24,0.24,0.25,3.16,0.24,0.23,0.24,0.22,2.09,0.21,0.23,0.23,0.24,2,1.0,1
1,32,3.48,0.24,0.22,0.23,1.17,2.39,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.23,0.24,1.21,0.21,0.21,0.22,0.22,3.64,1.71,0.2,0.21,0.25,2,1.0,1
1,33,2.6,1.8,0.2,0.21,0.2,2.92,0.19,0.2,0.2,0.22,0.6,0.2,0.2,0.2,0.22,4.39,0.32,0.19,0.2,0.21,3.6,3.0,0.23,0.19,0.25,2,1.0,1
1,34,1.69,1.48,0.19,0.2,0.26,2.95,0.29,0.19,0.2,0.22,2.88,2.48,0.19,0.2,0.21,3.68,3.45,0.38,0.2,0.2,3.18,3.43,1.59,0.19,0.21,2,1.0,1
1,35,2.33,2.25,0.2,0.2,0.21,2.04,2.67,0.19,0.2,0.2,3.08,1.2,0.19,0.2,0.21,2.79,2.43,4.02,0.19,0.2,3.58,2.64,3.07,0.19,0.2,2,1.0,1
1,36,1.83,2.24,3.42,0.19,0.19,4.45,1.88,2.14,0.19,0.2,3.89,4.09,3.06,0.19,0.2,3.88,3.36,4.82,0.19,0.2,4.19,3.27,4.88,0.19,0.2,2,1.0,1
1,37,3.45,3.2,0.2,0.19,0.21,3.01,4.66,0.2,0.19,0.2,3.25,2.72,0.2,0.19,0.2,3.15,2.9,0.42,0.19,0.2,4.68,3.04,3.35,0.22,0.24,2,1.0,1
1,38,3.77,2.25,0.2,0.19,0.55,3.96,2.32,0.19,0.19,0.68,3.36,2.36,0.19,0.19,0.22,3.65,3.32,0.82,0.19,0.2,4.82,3.22,3.51,0.19,0.78,2,1.0,1
1,39,1.88,2.22,0.2,0.19,0.39,1.37,3.42,0.19,0.19,0.28,2.87,1.44,0.32,0.29,0.26,3.9,1.85,1.29,0.19,0.25,4.73,3.18,2.97,0.19,0.63,2,1.0,1
1,40,3.67,2.61,0.19,0.29,1.98,3.72,2.86,0.2,0.25,0.41,3.71,3.45,0.19,0.25,0.41,3.86,2.69,0.22,0.23,0.85,4.46,4.79,0.37,0.55,2.12,2,1.0,1
1,41,3.77,1.93,0.19,0.37,0.67,2.76,0.22,0.2,0.34,0.36,4.22,0.72,0.19,0.31,0.37,3.78,4.14,0.2,0.27,0.62,3.89,3.53,0.2,0.23,0.79,2,1.0,1
1,42,4.28,0.2,0.23,0.38,0.4,2.55,0.19,0.2,0.37,0.32,4.72,0.19,0.2,0.36,0.34,4.59,0.29,0.2,0.36,0.81,4.47,4.14,0.2,0.26,0.48,2,1.0,1
1,43,3.02,1.35,0.29,0.36,0.33,1.65,0.19,0.24,0.37,0.32,4.22,0.2,0.24,0.36,0.33,4.62,0.2,0.24,0.33,0.3,4.61,2.97,0.26,0.3,0.22,2,1.0,1
