Traj_ID,Trial,Environment,Result,Time_Sec,Steps,Avg_Q
1,1,Track_A,Goal,42.02,17,-0.32
1,2,Track_A,Goal,36.55,27,-0.78
1,3,Track_A,Crash,25.13,25,-0.48
2,1,Track_A,Goal,55.67,37,-0.15
2,2,Track_A,Goal,50.11,17,-0.05
2,3,Track_A,Goal,30.07,15,-1.55
3,1,Track_B,Goal,37.91,14,-0.42
3,2,Track_B,Goal,39.37,12,-0.15
3,3,Track_B,Goal,40.12,13,-0.22
4,1,Track_C,Crash,60.15,38,-2.31
4,2,Track_C,Goal,55.08,48,-2.08
4,3,Track_C,Goal,62.05,48,-3.28
5,1,Track_D,Goal,35.52,19,-0.85
5,2,Track_A,Goal,53.62,29,-0.61
5,3,Track_D,Goal,26.22,18,-0.53
6,1,Track_E,Goal,48.06,29,-0.47
6,2,Track_C,Goal,66.07,36,-0.42
6,3,Track_D,Goal,56.79,33,-0.48
7,1,Track_F,Goal,65.06,35,-0.48
7,2,Track_A,Goal,83.33,38,-0.32
7,3,Track_D,Goal,44.09,26,-0.5
8,1,Track_E,Goal,38.72,25,-0.73
8,2,Track_F,Goal,74.9,43,-0.47
8,3,Track_F,Goal,92.51,54,-0.46
9,1,Track_B,Goal,76.31,48,-0.55
9,2,Track_C,Goal,33.39,24,-1.25
9,3,Track_A,Goal,67.09,28,-0.88
10,1,Track_C,Goal,48.98,29,-0.63
10,2,Track_A,Goal,85.48,44,-0.61
10,3,Track_D,Goal,39.1,26,-0.75
11,1,Track_B,Goal,35.84,15,-0.35
11,2,Track_C,Crash,33.58,25,-3.24
11,3,Track_F,Goal,87.08,53,-0.63
12,1,Track_D,Goal,58.58,32,-0.57
12,2,Track_C,Goal,35.59,27,-0.92
12,3,Track_F,Goal,64.02,34,-0.56
13,1,Track_A,Goal,42.92,24,-0.33
13,2,Track_D,Goal,106.07,53,-0.63
13,3,Track_C,Goal,53.59,38,-0.57
14,1,Track_A,Goal,45.36,31,-0.33
14,2,Track_A,Goal,30.03,18,-0.41
14,3,Track_D,Goal,63.47,40,-0.64
15,1,Track_C,Goal,34.62,18,-0.58
15,2,Track_D,Goal,59.34,40,-0.41
15,3,Track_F,Goal,33.83,26,-0.43
16,1,Track_C,Goal,73.9,37,-0.79
16,2,Track_E,Goal,43.9,25,-0.52
16,3,Track_F,Goal,56.66,31,-0.41
17,1,Track_E,Goal,32.6,17,-0.71
17,2,Track_F,Goal,33.01,24,-0.47
17,3,Track_E,Crash,42.54,26,-3.61
18,1,Track_D,Crash,34.03,21,-3.84
18,2,Track_A,Goal,47.89,26,-0.41
18,3,Track_D,Goal,28.62,17,-0.44
19,1,Track_B,Goal,43.45,22,-1.01
19,2,Track_C,Goal,112.01,52,-0.59
19,3,Track_A,Goal,82.7,41,-0.78
20,1,Track_F,Goal,65.76,42,-0.53
20,2,Track_F,Goal,44.0,22,-0.52
20,3,Track_A,Goal,61.13,32,-0.57
21,1,Track_B,Goal,70.09,39,-0.33
21,2,Track_E,Goal,85.46,42,-1.0
21,3,Track_D,Goal,62.97,38,-0.76
22,1,Track_C,Goal,37.54,20,-0.68
22,2,Track_C,Goal,69.42,42,-0.37
22,3,Track_B,Goal,32.22,17,-0.43
23,1,Track_A,Goal,25.05,18,-1.33
23,2,Track_A,Crash,34.0,20,-3.65
23,3,Track_C,Goal,100.78,43,-0.66
24,1,Track_B,Goal,29.43,18,-0.91
24,2,Track_C,Goal,42.57,22,-0.29
24,3,Track_E,Goal,71.68,44,-0.41
25,1,Track_B,Goal,34.9,15,-0.67
25,2,Track_E,Goal,72.61,38,-0.8
25,3,Track_C,Goal,35.01,19,-0.39
26,1,Track_C,Crash,26.81,20,-3.77
26,2,Track_B,Goal,53.1,29,-0.65
26,3,Track_D,Goal,33.33,22,-0.86
27,1,Track_B,Goal,51.91,33,-0.52
27,2,Track_E,Goal,44.06,25,-0.89
27,3,Track_B,Goal,1095.71,161,-0.33
28,1,Track_B,Goal,1575.6,231,-0.58
28,2,Track_E,Goal,1506.79,221,-0.2
28,3,Track_E,Goal,1171.23,172,-0.4
29,1,Track_F,Goal,1191.64,175,-0.61
29,2,Track_D,Goal,1363.13,200,-0.2
29,3,Track_D,Goal,1369.74,201,-0.49
30,1,Track_B,Goal,1486.53,218,-0.33
30,2,Track_B,Goal,1376.89,202,-0.42
30,3,Track_F,Crash,623.49,92,-3.65
