train/learning_rate,train/loss,train/n_updates
5e-05,nan,100
5e-05,nan,200
5e-05,nan,300
5e-05,nan,400
5e-05,nan,500
5e-05,nan,600
5e-05,nan,700
5e-05,nan,800
5e-05,nan,900
5e-05,nan,1000
5e-05,nan,1100
5e-05,nan,1200
5e-05,nan,1300
5e-05,nan,1400
5e-05,nan,1500
5e-05,nan,1600
5e-05,nan,1700
5e-05,nan,1800
5e-05,nan,1900
5e-05,nan,2000
5e-05,nan,2100
5e-05,nan,2200
5e-05,nan,2300
5e-05,nan,2400
5e-05,nan,2500
5e-05,nan,2600
5e-05,nan,2700
5e-05,nan,2800
5e-05,nan,2900
5e-05,nan,3000
5e-05,nan,3100
5e-05,nan,3200
5e-05,nan,3300
5e-05,nan,3400
5e-05,nan,3500
5e-05,nan,3600
5e-05,nan,3700
5e-05,nan,3800
5e-05,nan,3900
5e-05,nan,4000
5e-05,nan,4100
5e-05,nan,4200
5e-05,nan,4300
5e-05,nan,4400
5e-05,nan,4500
5e-05,nan,4600
5e-05,nan,4700
5e-05,nan,4800
5e-05,nan,4900
5e-05,nan,5000
5e-05,nan,5100
5e-05,nan,5200
5e-05,nan,5300
5e-05,nan,5400
5e-05,nan,5500
